qwerty,output,layout
misfaith,murtaugh,colemak
maddled,massifs,colemak
macamba,macamba,colemak
skulked,reliefs,colemak
skulked,reliefs,colemak_dh
bahama,bahama,colemak
wahwah,wahwah,colemak
clarks,diaper,colemak_dh
wagwag,wagwag,colemak_dh
flossy,unroof,dvorak
based,barfs,colemak
banks,baker,colemak
bleed,biffs,colemak
basks,barer,colemak
chard,chaps,colemak
chasm,charm,colemak
drank,spake,colemak
disks,surer,colemak
dirks,super,colemak
forks,typer,colemak
ghana,dhaka,colemak
mamma,mamma,colemak
mamba,mamba,colemak
risks,purer,colemak
racks,pacer,colemak
slunk,rilke,colemak
sagas,radar,colemak
sacks,racer,colemak
simba,rumba,colemak
who'd,why's,colemak
wanks,waker,colemak
casks,darer,colemak_dh
drank,spake,colemak_dh
disks,surer,colemak_dh
dirks,super,colemak_dh
forks,typer,colemak_dh
gordo,gypsy,colemak_dh
hanks,maker,colemak_dh
jacks,nader,colemak_dh
rinks,puker,colemak_dh
risks,purer,colemak_dh
slunk,rilke,colemak_dh
sicks,ruder,colemak_dh
tasks,barer,colemak_dh
tanks,baker,colemak_dh
talak,baiae,colemak_dh
flush,ungod,dvorak
float,unray,dvorak
flusk,ungot,dvorak
hoard,drape,dvorak
kodak,treat,dvorak
mamma,mamma,dvorak
rossy,proof,dvorak
rasps,paolo,dvorak
udons,gerbo,dvorak
yangs,fabio,dvorak
also,airy,colemak
bask,bare,colemak
base,barf,colemak
bank,bake,colemak
card,caps,colemak
cask,care,colemak
char,chap,colemak
chit,chug,colemak
disk,sure,colemak
data,saga,colemak
dank,sake,colemak
fork,type,colemak
flee,tiff,colemak
fief,tuft,colemak
gaga,dada,colemak
glad,dias,colemak
lamb,iamb,colemak
miff,mutt,colemak
maul,mali,colemak
mask,mare,colemak
rink,puke,colemak
risk,pure,colemak
rara,papa,colemak
rack,pace,colemak
sank,rake,colemak
sack,race,colemak
yank,jake,colemak
also,airy,colemak_dh
cask,dare,colemak_dh
clad,dias,colemak_dh
conk,dyke,colemak_dh
disk,sure,colemak_dh
dank,sake,colemak_dh
fork,type,colemak_dh
flee,tiff,colemak_dh
fief,tuft,colemak_dh
faux,talc,colemak_dh
gaga,gaga,colemak_dh
hack,made,colemak_dh
hank,make,colemak_dh
hard,maps,colemak_dh
haul,mali,colemak_dh
mock,hyde,colemak_dh
mask,hare,colemak_dh
mash,harm,colemak_dh
riff,putt,colemak_dh
rink,puke,colemak_dh
risk,pure,colemak_dh
rara,papa,colemak_dh
sick,rude,colemak_dh
sank,rake,colemak_dh
tiff,butt,colemak_dh
task,bare,colemak_dh
tank,bake,colemak_dh
tack,bade,colemak_dh
wash,warm,colemak_dh
wale,waif,colemak_dh
wack,wade,colemak_dh
xmas,char,colemak_dh
anno,abbr,dvorak
goal,iran,dvorak
lard,nape,dvorak
mama,mama,dvorak
malt,many,dvorak
maid,mace,dvorak
noah,brad,dvorak
paid,lace,dvorak
roam,pram,dvorak
rosy,prof,dvorak
rara,papa,dvorak
raid,pace,dvorak
soap,oral,dvorak
slid,once,dvorak
ussr,goop,dvorak
